VEHICLE_ID,EVENT_TYPE,CREATED_AT,FILTER_RESULTS,FILE_BUCKET,FILE_KEY,OFFLINE_ID,CE_OFFLINE_ID,START_TIME,TIME_DIFFERENCE_BETWEEN_CONSECUTIVE_EVENTS
1066640,reserved33,2023-12-28 17:03:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=17/1ea3df24-c7f6-4017-b564-e751524d930d.json.gz,71205f6a-0f4e-4605-9022-985c9f818741,1ea3df24-c7f6-4017-b564-e751524d930d,2023-12-28T17:02:04.004000,
1066640,reserved33,2023-12-28 17:22:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=17/2dfe2d41-b71f-474e-b364-2b0a1cd80856.json.gz,1b03193f-effe-4679-b169-9669b62add28,2dfe2d41-b71f-474e-b364-2b0a1cd80856,2023-12-28T17:22:04.074000,0 days 00:19:00
1066640,reserved33,2023-12-28 17:43:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=17/4e6b5205-7278-452d-94c5-2b595e17a61e.json.gz,4108a511-8334-440b-9231-4110485fd36b,4e6b5205-7278-452d-94c5-2b595e17a61e,2023-12-28T17:42:06.044000,0 days 00:21:00
1066640,reserved33,2023-12-28 18:03:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=18/1099a142-c3bc-4141-bd8d-c32fda9ae737.json.gz,e47b7c57-b00e-4638-8914-d5367e663774,1099a142-c3bc-4141-bd8d-c32fda9ae737,2023-12-28T18:02:08.141000,0 days 00:20:00
1066640,reserved33,2023-12-28 18:22:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=18/5d93074e-9dce-415b-8415-ab750276f940.json.gz,14a9bf6a-88b7-4c41-bf3d-4a2aecb0d706,5d93074e-9dce-415b-8415-ab750276f940,2023-12-28T18:22:08.084000,0 days 00:19:00
1066640,reserved33,2023-12-28 18:45:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=18/f0692c65-064a-4857-b916-2312585a0610.json.gz,55e76b41-d92b-4119-ad2a-8c065dba6574,f0692c65-064a-4857-b916-2312585a0610,2023-12-28T18:42:10.004000,0 days 00:23:00
1066640,reserved33,2023-12-28 21:07:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=21/a6bb6576-08a9-4e07-a491-3442bba05614.json.gz,34ac3404-8d58-4010-8426-dd7fddaee714,a6bb6576-08a9-4e07-a491-3442bba05614,2023-12-28T21:06:36.513000,0 days 02:22:00
1066640,reserved33,2023-12-28 22:52:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-28/hour=22/e9d18f63-0080-4e49-b874-276ae09a0e32.json.gz,727b066d-414f-467f-8c06-ce3713287a24,e9d18f63-0080-4e49-b874-276ae09a0e32,2023-12-28T22:36:03.078000,0 days 01:45:00
1066640,reserved33,2023-12-29 00:02:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-29/hour=0/3080a224-f358-4513-99bd-143867d2907d.json.gz,92580540-a7c4-4856-89a0-5e7c77c5b913,3080a224-f358-4513-99bd-143867d2907d,2023-12-28T23:56:56.882000,0 days 01:10:00
1066640,reserved33,2023-12-29 00:18:00,{},keep-truckin-data-lake,production/core/fis/type=driver_performance_message/date=2023-12-29/hour=0/91b42576-9520-4241-be4b-1e39c9418d63.json.gz,b808fb16-443f-497c-8f28-60572af39c3f,91b42576-9520-4241-be4b-1e39c9418d63,2023-12-29T00:16:57.582000,0 days 00:16:00
